RT,I
4.48,548.0
4.485,515.0
4.489999999999999,510.0
4.495,554.0
4.5,593.0
4.505,567.0
4.510000000000001,529.0
4.515,534.0
4.52,615.0
4.525,614.0
4.53,586.0
4.535,580.0
4.54,550.0
4.545,537.0
4.55,547.0
4.555000000000001,553.0
4.5600000000000005,569.0
4.5649999999999995,588.0
4.569999999999999,588.0
4.575,613.0
4.58,575.0
4.585,545.0
4.59,535.0
4.595,514.0
4.6,465.0
4.605,465.0
4.61,535.0
4.614999999999999,597.0
4.62,592.0
4.625,568.0
4.63,566.0
4.635000000000001,509.0
4.64,476.0
4.645,516.0
4.65,527.0
4.655,550.0
4.66,593.0
4.665,1006.0
4.67,2428.0
4.675,4537.0
4.680000000000001,6862.0
4.6850000000000005,9118.0
4.6899999999999995,10636.0
4.694999999999999,10346.0
4.7,8465.0
4.705,6343.0
4.71,4590.0
4.715,3078.0
4.72,1958.0
4.725,1447.0
4.73,2287.0
4.735,7052.0
4.739999999999999,20366.0
4.745,52449.0
4.75,113594.0
4.755,203089.0
4.760000000000001,295954.0
4.765,355186.0
4.77,351810.0
4.775,284114.0
4.78,190100.0
4.785,106708.0
4.79,49034.0
4.795,19238.0
4.8,7238.0
4.805000000000001,3020.0
4.8100000000000005,1772.0
4.8149999999999995,1343.0
4.819999999999999,1164.0
4.825,1138.0
4.83,1090.0
4.835,932.0
4.84,814.0
4.845,812.0
4.85,762.0
4.855,700.0
4.86,662.0
4.864999999999999,577.0
4.87,542.0
4.875,577.0
4.88,598.0
4.885000000000001,550.0
4.89,505.0
4.895,583.0
4.9,566.0
4.905,568.0
4.91,602.0
4.915,618.0
4.92,630.0
4.925,562.0
4.930000000000001,638.0
4.9350000000000005,609.0
4.9399999999999995,499.0
4.944999999999999,465.0
4.95,554.0
4.955,625.0
4.96,617.0
4.965,602.0
4.97,603.0
4.975,567.0
4.98,511.0
4.985,500.0
4.989999999999999,505.0
4.995,490.0
5.0,503.0
5.005,526.0
5.010000000000001,556.0
5.015,555.0
5.02,505.0
5.025,524.0
5.03,542.0
5.035,538.0
5.04,548.0
5.045,615.0
5.05,597.0
5.055000000000001,514.0
5.0600000000000005,556.0
5.0649999999999995,584.0
5.069999999999999,617.0
5.075,557.0
5.08,588.0
5.085,632.0
5.09,591.0
5.095,550.0
5.1,531.0
5.105,563.0
5.11,604.0
5.114999999999999,620.0
5.12,599.0
5.125,574.0
5.13,505.0
5.135000000000001,489.0
5.14,560.0
5.145,576.0
5.15,599.0
5.155,572.0
5.16,553.0
5.165,514.0
5.17,551.0
5.175,564.0
5.180000000000001,491.0
5.1850000000000005,546.0
5.1899999999999995,564.0
5.194999999999999,540.0
5.2,553.0
5.205,526.0
5.21,509.0
5.215,502.0
5.22,570.0
5.225,622.0
5.23,567.0
5.235,530.0
5.239999999999999,468.0
5.245,566.0
5.25,524.0
5.255,506.0
5.260000000000001,577.0
5.265,623.0
5.27,657.0
5.275,643.0
5.28,529.0
5.285,465.0
5.29,504.0
5.295,519.0
5.3,502.0
5.305000000000001,524.0
5.3100000000000005,509.0
5.3149999999999995,485.0
5.319999999999999,492.0
5.325,489.0
5.33,514.0
5.335,548.0
5.34,514.0
5.345,516.0
5.35,538.0
5.355,542.0
5.36,523.0
5.364999999999999,538.0
5.37,538.0
5.375,510.0
5.38,529.0
5.385000000000001,564.0
5.39,523.0
5.395,526.0
5.4,519.0
5.405,507.0
5.41,509.0
5.415,543.0
5.42,577.0
5.425,618.0
5.430000000000001,632.0
5.4350000000000005,592.0
5.4399999999999995,536.0
5.444999999999999,532.0
5.45,561.0
5.455,580.0
5.46,623.0
5.465,673.0
5.47,630.0
5.475,577.0
5.48,568.0
5.485,564.0
5.489999999999999,528.0
5.495,551.0
5.5,543.0
5.505,535.0
5.510000000000001,545.0
5.515,553.0
5.52,558.0
5.525,556.0
5.53,586.0
5.535,614.0
5.54,577.0
5.545,575.0
5.55,604.0
5.555000000000001,572.0
5.5600000000000005,593.0
5.5649999999999995,676.0
5.569999999999999,682.0
5.575,611.0
5.58,562.0
5.585,540.0
5.59,515.0
